马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
安遇,愛爾蘭 / 5,棕 / 閹,自購馬,$0,"$13,993,775",7-2-2-27,2,香港(24/09/2024),16/10/2021,賀賢,王賢訊,104,107,Churchill,Enrol,Pivotal,美麗之光安熠夢幻駿駒飛黃駿奕快車喜智駒K262嘉應傳承恒之有道駿彩飛馳華美之威,
安騁,美國 / 4,棗 / 閹,自購馬,"$3,975,000","$11,668,400",4-1-1-9,2,香港(21/03/2024),10/06/2023,蔡約翰,王賢敏,104,85,Lemon Drop Kid,Alluvial Gold,Danehill Dancer,沒有,
氣勢,澳洲 / 4,栗 / 閹,自購新馬,"$4,228,400","$8,012,600",6-2-0-8,2,香港(19/09/2024),08/05/2023,蔡約翰,李國能先生及夫人,98,80,Rich Enuff,Could Be Something,General Nediym,跨境寶馬美麗一定劍無名瑪納霏步大威猛正氣青驅精選威新力驕,
增有,澳洲 / 6,棗 / 閹,自購馬,$0,"$10,571,525",4-3-3-31,2,香港(07/11/2024),13/09/2021,賀賢,曾水達與馬藝,91,95,Street Boss,Kellys Ocean Jewel,Dansili,K174嫡愛好飛來閃耀炯炯有神紅海勁,
球星,澳洲 / 4,棗 / 閹,自購新馬,"$1,041,600","$4,819,200",4-2-5-14,1,香港(22/10/2024),08/05/2023,大衛希斯,香港足球會團體,83,76,Rubick,Emirates Comfort,Dubawi,星河勇士K299光年魅力萬事掂包裝天將新幹線韋金主電訊驕陽,
瑪瑙,澳洲 / 6,棗 / 閹,自購馬,"$232,800","$9,468,800",3-3-1-26,1,從化(13/11/2024),20/12/2021,羅富全,Chong Min Onn,82,85,All Too Hard,Urban Rocker,Fastnet Rock,豬膶燒賣郎中物酷霸王勇敢歡欣魅力寶駒古惑大師大眾快駒快又醒良駒好友K290嘉應光彩譽友駿駒幸運愉快德心知遇魅力知福錶之星河西坎德爾火金鷹生生勝利三劍合璧競駿良駒,
晴王,紐西蘭 / 6,栗 / 閹,自購新馬,"$140,400","$6,294,150",5-1-3-21,1,香港(07/08/2024),22/03/2022,鄭俊偉,吳廷傑,78,78,Frosted,Darci Dancer,Darci Brahma,八勇士多彩多姿龍又生K272K294,
耀寶,澳洲 / 4,棗 / 閹,自購馬,"$3,583,200","$3,583,200",2-0-0-3,2,香港(04/07/2024),18/03/2024,羅富全,許晋亨,77,64,Toronado,Liberty Made,Statue Of Liberty,雄彬飛翔美麗邂逅無限美麗福祐神州勁者友得盈欣感驕陽明駒自己話事利衍天下K224K246超力量駿皇勝鐵金剛魅力星魅力心馬主雄風包裝猛將包裝明駒紅逸舍多巴先生魅力知遇朗日雪峰維港智能,
玩笑,英國 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(24/10/2024),06/07/2024,伍鵬志,游國輝,76,76,Siyouni,Illaunmore,Shamardal,縱橫大進龍城精將,
米奇,愛爾蘭 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(04/08/2024),04/08/2024,蔡約翰,蕭劍平,76,76,Soldier's Call,Parle Moi,Giant's Causeway,沒有,
